tweet,hate,Original_retrieved(0/1),score,New_retrieved(0/1),score,Combined_retrieved(0/1),score
i think i might working alone today ill fuck everything up royally i also take my shoes off,1,0,0,0,0,0,0
every care worker america deserves free fair choice join union,0,0,0,0,0,0,0
great host reception celebrating eid alfitr white house todayfolks i hope you had blessed ramadan happy eidand thank you your community spirit contributions our nation commitment shared values make america great httpstcopxfvnnueqk,0,0,0,0,0,0,0
rt wissthabratt i’m willingly sharing my man bitch fuck outta here,1,0,0,0,0,0,0
so many americans come from towns used have factory employing family neighbors now theyre gone went overseas cheaper labor my investing america agenda bringing manufacturing boom back home,0,0,0,0,0,0,0
small businesses engine our economy soul our communities its one best investments america can make thats why supporting small business heart my plan grow our economy from bottom up middle out,0,0,0,0,0,0,0
care work demanding requires serious skill workers among lowest paid country my executive order improving pay job quality benefits available our care workers addresses headon httpstcox1p0ehpqvl,0,0,0,0,0,0,0
middle class built america unions built middle class im building economy them,0,0,0,0,0,0,0
thanks our historic investments companies have already devoted more than 400 billion new manufacturing factories make semiconductor chips already being built all over our country guess what theyre going hire hell lot people httpstcos2he8nxs9z,0,0,0,0,0,0,0
rt badassiee why ppl scared start over get new job get new nigga get them new friends live stop being so stuck stu,1,0,0,0,0,0,0
si so fucking pretty im gonna cry httpstcockshpgnfys,1,0,0,0,0,0,0
gggiants baseballjeff1 shawn estes said post game tonight his swing different astros coached him put him better spot successful honestly he gets say what he wants he traded help team win ring victor go trash talk,1,0,0,0,0,0,0
kuntieplopkins fuck me busy,1,0,0,0,0,0,0
asian american native hawaiian pacific islander heritage month we renew our work make american dream possible all celebrate aa nhpi communities immigrants across our nationamericas diversity has always been our greatest strength,0,0,0,0,0,0,0
like who fuck graham guy only large leftist accounts put him tl give him attention its fucking dumb,1,0,0,0,0,0,0
roy one hell job hosting last night’s white house correspondents dinner httpstcoxrlyxdd9cm,1,0,0,0,0,0,0
im so fucking hot cool you all suck you fucking losers im best better than you kill yourselves like actually only me midori get exist i jate him soooo much so i need keep killing him multiple times because i like seeing him rot bleed,1,0,0,0,0,0,0
rt sethapine u trash cuz i wanna take you out httpstco3yezljlvym,1,0,0,0,0,0,0
rt yuzugirikiss bsd 107he lived served cunt died got resurrected served even more cunt httpstcoimbayhdsej,0,0,0,0,0,0,0
were making 2023 year buying american,0,0,0,0,0,0,0
welcome white house president yoon mrs kim httpstcosoolh6lx9s,0,0,0,0,0,0,0
united states republic korea alliance wasnt born out shared borders shared beliefs democracy liberty security above all freedom httpstco8pfjj0w9dv,0,0,0,0,0,0,0
man she’s so fuckin pretty httpstcozx4oy801cw,1,0,0,0,0,0,0
hecubiandevil thats exhaustion you fools hes high fuck off fent heroin pills,1,0,0,0,0,0,0
rt mayaselflove i’m bad bitch i just love my self only ? httpstcogcywm3kj7w,1,0,0,0,0,0,0
join vice president harris me we deliver remarks during national small business week httpstco1rez7igm4d,0,0,0,0,0,0,0
under my infrastructure lawunion workers build roads bridges lay internet cable install 500000 electric vehicle chargers across americaunion workers going transform americaand union workers going finish job,0,0,0,0,0,0,0
tune first lady i host president yoon mrs kim republic korea state visit united states httpstcosp3rgnmim7,0,0,0,0,0,0,0
benjisales how fuck did arkane miss bad,1,0,0,0,0,0,0
rt soobwhat what fuck namjoon posted picture soobin his instagram httpstco0v3ca02num,1,0,0,0,0,0,0
my budget gets rid wasteful tax breaks special interests instead gets tax relief those who need families children american workers,0,0,0,0,0,0,0
tune i deliver remarks celebrating eid alfitr httpstcoleipmn9uni,0,0,0,0,0,0,0
small businesses engine our economy soul our communities it’s one best investments america can make that’s why supporting small business heart my plan grow our economy from bottom up middle out,0,0,0,0,0,0,0
rt ectofun insane studios said it’s bad fucking sign ai writing important them,1,0,0,0,0,0,0
makeitaquote bitch,1,0,0,0,0,0,0
rt pipopeepo oh god oh fuck httpstcoelznme8oxc,1,0,0,0,0,0,0
i miss you man you so fucked dude fuck man,1,0,0,0,0,0,0
so fucking irony band i ?? love im ?? you honey you’re quite tell real about females i meet cause i am so messed up ? ? sad motherfucking true ? ? httpstco29wo2cexug,1,0,0,0,0,0,0
rt punishedcait wait thats him before cgi why did even fucking bother,1,0,0,0,0,0,0
i wanting fuck bitch upppp httpstcor88lihuwa7,1,0,0,0,0,0,0
muslim culture has been woven throughout american culture from very start we must always stand against antimuslim hate stand up rights dignity all people its essential who we nation founded idea freedom justice all,0,0,0,0,0,0,0
bbcworld australia fucking sucks ass holy shit ? ? ? ? ? ? ? ? ?,1,0,0,0,0,0,0
rt theronfilm cuntress mother cunt metgala httpstcoi5qcw5qv3a,0,0,0,0,0,0,0
cost child care longterm care too highno one should have choose between parents children who depend them paycheck rely oni just signed executive order includes historic actions increase access highquality care httpstcozgzkdj4xnn,0,0,0,0,0,0,0
welcome white house president bongbongmarcos your partnership allow united states philippines continue strengthen our economies fight climate change build better world generations come httpstcocqcz1z6gq5,0,0,0,0,0,0,0
bruh entire thread has me fucking tears ? ? ? httpstcogxg10e0f2m,1,0,0,0,0,0,0
rt patwilliams1944 fucking degenerate sick rapist scum we need capital punishment stop evil,1,0,0,0,0,0,0
because we have best workers world were going have strongest economy world our groundbreaking investments were right track httpstcogwaknnotvk,0,0,0,0,0,0,0
week i spoke about my plan rebuild our economy very folks thatll benefit from hardworking american middle class httpstcosmtqfdx24t,0,0,0,0,0,0,0
thedemocrats reminder 100 democrats goat fucking pieces shit who prey little children,1,0,0,0,0,0,0
savingtradition potus yeah because christians arent being labeled fucking terrorist base skin tone its pretty fucking ironic see someone progressive name thoughts woman being big fucking dumbass progressive post,1,0,0,0,0,0,0
investing working families were investing america weve already made easier afford necessities from child care health care internet were done yet httpstcotdeogfljlt,0,0,0,0,0,0,0
elonmusk bro fuck all extra math shit i love math u don’t just cut one throats hypothetical situation u just overthinking,1,0,0,0,0,0,0
hansuperior what fuck my jaw fell floor its coming back up anytime soon,1,0,0,0,0,0,0
one managerial appointment announcement could spark excitement look bring fans back brisbane roar well ross aloisi sure fuck ain’t ithappy him prove me very wrong has disaster written all over true,1,0,0,0,0,0,0
week spent strengthening our alliances rebuilding our middle class fighting brighter future httpstcop05v3g5xv2,0,0,0,0,0,0,0
rt fatfabfeminist one wants see curvy women well fuck you karl fat ppl looking absolutely breath taking years met gala,1,0,0,0,0,0,0
rt urfaveluvr i do alot illegal shit i draw line littering bitch,1,0,0,0,0,0,0
its tax day america im done fighting build fairer tax code make superwealthy pay fair share economy where millionaire pays less taxes than educator economy doesnt work,0,0,0,0,0,0,0
look your president i am saying every federal project built american workersusing american productscreating american jobs httpstcorahxt3dchz,0,0,0,0,0,0,0
rt urfaveluvr i’m perfume ass bitch i love smell good,1,0,0,0,0,0,0
last tax day expanded child tax credit provided extra relief hardworking american families cutting child poverty half lowest level ever republicans congress blocked its extensionmy budget would restore full credit get folks some breathing room,0,0,0,0,0,0,0
rt thegentledyke ivf expensive fuck i’m finna waiting outside box,1,0,0,0,0,0,0
congrats our national small business week award winners youre models grit heart drive literally built america httpstcosm7lxj0bnc,0,0,0,0,0,0,0
time last year we were praying brittney hoping she knew how hard all us were fighting her release so great have her home us last night’s dinner httpstcojhwv4htqkz,0,0,0,0,0,0,0
you might tired hearing me talk about were finally going make superwealthy pay fair share under my economic plan one earning less than 400000 year see taxes go up single penny httpstcotmyzwhhodt,0,0,0,0,0,0,0
rt sleezyjamie special invite from anna wintour oh bitch she’s here stay awhile,1,0,0,0,0,0,0
dark brandon made appearance white house correspondents dinner httpstcolnfwrnxj0i,0,0,0,0,0,0,0
rt theeyknownia i salute bitch honestly,1,0,0,0,0,0,0
rt shbsolo okay some you fucking weird his name sung hanbin im fine ppl still calling him shanbin thats his ac,1,0,0,0,0,0,0
canon nico rp where mun ww kinnie living actual fuckin desert hi its me fir i live hell dd,1,0,0,0,0,0,0
yall doing dirty my son yall dont deserve him httpstcoarbixr6sf8,1,0,0,0,0,0,0
mental health care health careand during national mental health awareness month we honor absolute courage tens millions living mental health conditionsill always fight get every american access care need live full happy lives,0,0,0,0,0,0,0
i often ask where written america cant lead world manufacturing again well house republicans answered its written bill proposal ship jobs overseas threaten our manufacturing boom httpstco5xr2jwh9dq,0,0,0,0,0,0,0
rt crowparadeart glad see people actually growing fuck up realizing how harmful callout culture harassment i’m hitting,1,0,0,0,0,0,0
congrats our national small business week award winners you’re models grit heart drive literally built america httpstcosm7lxj0bnc,0,0,0,0,0,0,0
rt mrdavemacleod theyve never done anything theyre fucking idiotsits going week total royal mania coronation,1,0,0,0,0,0,0
roy one hell job hosting last nights white house correspondents dinner httpstcoxrlyxdd9cm,1,0,0,0,0,0,0
rt massawyrm immediate fear ai isn’t us writers have our work replaced artificially generated content it’s we w,0,0,0,0,0,0,0
puredeadgaming well atleast someones enjoying life while rest us over here fucking dealing life,1,0,0,0,0,0,0
our honor stand alongside presidentkr yoon suk yeol mrs kim korean war memorialtogether we laid wreath pay tribute those who fought defend universal values freedoms still ring true today httpstco1nwc99lcyy,0,0,0,0,0,0,0
were just building recordbreaking economy brings back manufacturing creates goodpaying jobs leaves one behind were building america we can all take pride httpstcowf5v0atfn1,0,0,0,0,0,0,0
join me white house rose garden i deliver remarks improving child care longterm care family caregiving httpstcow2tsvdp6ev,0,0,0,0,0,0,0
rt eichhiinem so tired people making fun eichis illness because he made little mistake pls get tf out my face im so done,1,0,0,0,0,0,0
you live major city you can pay more than 17000 year per child child carefor many families thats more than you pay mortgage college educationits overwhelmingthats why today im signing executive order make child care more affordable,0,0,0,0,0,0,0
rt haileternal hollywood so fucking disgusting literal murder occurs don’t stop event,1,0,0,0,0,0,0
we have sacred obligation care men women who fought protect our freedom how maga republicans congress have chosen repay them httpstcoex7dq3vjst,0,0,0,0,0,0,0
pleasure welcoming you all white houseyouve only carried academys long football record youve also stepped up join long line servicemembers each link chain honor httpstcoo1bfdide3s,0,0,0,0,0,0,0
time last year we were praying brittney hoping she knew how hard all us were fighting her release so great have her home us last nights dinner httpstcojhwv4htqkz,0,0,0,0,0,0,0
my pleasure welcoming tennessee three white house thank you representatives justin jones justin pearson gloria johnson your leadership courage stand up safer communities democratic values httpstcoofrsq19kco,0,0,0,0,0,0,0
rt lifeofcathyyy people need mind fuckin business fr,1,0,0,0,0,0,0
every time someone starts new business its act hope optimism my economic plan investment hope httpstco87iedgeuox,0,0,0,0,0,0,0
rt astrallyra fr what fuck whole event httpstcoxcqd8kczdu,1,0,0,0,0,0,0
rt pinkdior i rather deal nigga just keep blunt asf all lying lil boy shit get you blocked,1,0,0,0,0,0,0
fucking hilarious i love man so much ? httpstco1w1wpdphgp,1,0,0,0,0,0,0
tune i deliver remarks white house correspondents association dinner httpstcoqaexcdnncd,0,0,0,0,0,0,0
every time someone starts new business it’s act hope optimism my economic plan investment hope httpstco87iedgeuox,0,0,0,0,0,0,0
you can’t find job because you’re talentless charles charge terrible people don’t wanna watch pedophile fuck his minor co stars httpstcosy8pfdi4td,1,0,0,0,0,0,0
rt dieworkwear gotta say one annoying things about gala commentary year how many ppl have nothing contribute other tha,0,0,0,0,0,0,0
benadryl bitch i thinking 7 lolhalf way,1,0,0,0,0,0,0
when wealthiest americans biggest corporations pay fair share we can invest america investing america we can lower costs families create goodpaying jobs way everyone has fair shot,0,0,0,0,0,0,0
last night i had chance call ralph yarl his familyno parent should have worry kid shot after ringing wrong doorbell weve got keep up fight against gun violenceand ralph well see you oval once you feel better httpstcompxim1x6nk,0,0,0,0,0,0,0
benjilogs wydblve ieemoo chainment sosamovin you fucking slow who tf play 23 i don’t ps you damn nobody,1,0,0,0,0,0,0
our inflation reduction act introduced series tax credits rebates aimed saving hardworking families energy costs building cleaner future youre eligible take advantage them,0,0,0,0,0,0,0
i often ask where written america can’t lead world manufacturing again well house republicans answered it’s written bill proposal ship jobs overseas threaten our manufacturing boom httpstco5xr2jwh9dq,0,0,0,0,0,0,0
